,Study,Detailed Description
10,4D Image-Guided Partial Breast Radiation in Stage 0 and l Breast Cancer,"this is a pilot study enrolling about 30 patients to evaluate the feasibility of using 4d ct and daily image guidance in accelerated partial breast irradiation (apbi) to decrease set-up error and individualized planning target volumes to limit the non-target breast tissue dose. the two specific breasts constraints which shall be decreased are the v50 (percent volume of breast receiving 50% of the prescribed dose) and the v100 (percent volume of breast receiving 100% of the prescribed dose). the goal will be to decrease these to 45% and 23.5% respectively, which is down 33% from the nsabp b39 standard of 60% and 35%."
11,Involving Family to Improve Communication in Breast Cancer Care,"breast cancer is the most common cancer among survivors in the us. most patients with breast cancer receive help from family in making complex decisions about treatment, handling logistically demanding care coordination, and managing symptoms and side effects. although family members (as defined by each patient) play a vital role in cancer care, they are not formally recognized or assessed in care delivery, and their need for information and support is typically unmet. lack of attention to family in care delivery is an important gap that too often leaves families without adequate information about patient health and treatments. this may prevent families and patients from engaging in open conversations, cause them unnecessary anxiety, and negatively affect the quality of cancer care and delivery.
communication is particularly important in cancer care, as the optimal course of action is determined through longitudinal discussion of prognosis, treatments, and patient goals, preferences, and concerns. strategies to improve communication for serious illnesses such as cancer have been developed, but typically target a specific decision, conversation, or setting, most often the inpatient hospital. there is growing agreement that communication among patients, families, and providers should be initiated early and continue throughout the disease trajectory. however, little is known about how to provide both patients and families with access to timely information about patient health and mechanisms to communicate directly with health care providers, as proposed in this study.
the goal of this study is to test a multicomponent intervention to strengthen communication and longitudinal partnerships among women with breast cancer and their family members. recent work by the study team has demonstrated the feasibility, acceptability, and benefit of intervention components which will be combined into a single model of care. the study team's preliminary studies indicate that clarifying patient and family expectations regarding the role of family and providing family with timely and comprehensive information about patient health (as desired by the patient) leads to more effective family involvement, more frequent patient-family-provider interactions, more patient-centered communication, and greater preparedness to manage care.
this study will evaluate the feasibility of delivering a multicomponent communication intervention in the outpatient setting comprising: 1.) a patient-family agenda-setting checklist completed immediately before a regularly scheduled medical oncology visit with a participating medical oncologist, 2.) facilitated registration for the patient portal (for patient and family member, as desired by the patient), and 3.) education (as relevant) on access to doctor's electronic visit notes. the study will focus on patients who typically attend medical oncology visits with a family member or trusted friend who are already present and involved in communication. this study will enroll up to 132 patients who are on active treatment for breast cancer, up to 132 family member/friend ""companions"" and up to 14 medical oncology providers. the study team will compare patients and companions who are in the intervention group (n=60 dyads) with patients and companions who are in the control group and receive usual medical oncology care (n=60 dyads). this study will compare quality of communication with medical oncology providers, understanding of patient's cancer, confidence in managing patient's care, satisfaction with cancer care, and symptoms of anxiety after 3 months, 9 months, and 12 months of follow-up."
12,"An Open-Label, Phase Ib/​II Clinical Trial Of Cdk 4/​6 Inhibitor, Ribociclib (Lee011), In Combination With Trastuzumab Or T-Dm1 For Advanced/​Metastatic Her2-Positive Breast Cancer","this research study is a phase ib/ii clinical trial, which tests the safety of an investigational intervention and also tries to define the appropriate dose of the investigational intervention to use for further studies.
ribociclib is a drug that is designed to block certain proteins called cyclin-dependent kinases (cdks) that are required for cells to divide. these proteins may also control the ability of certain cancers to grow.
in this research study, there will be 3 separate cohorts that are looking for the safe and tolerated dose of ribociclib that can be given in combination with other her2 directed therapy. one cohort will be looking at the safety of ribociclib in combination with trastuzumab emtansine (t-dm1). t-dm1 is a standard treatment for patients with her2-positive breast cancer. one cohort will be looking at the safety of ribociclib in combination with trastuzumab (herceptin), which is a standard treatment for patients with her2-positive breast cancer. the last cohort will be looking at the safety of ribociclib in combination with trastuzumab (herceptin) and fulvestrant (faslodex) for er-positive and her2-positive breast cancer. these are both standard treatments for this type of breast cancer.
the fda (the u.s. food and drug administration) has not approved ribociclib as a treatment for any disease."
13,Breast Cancer Detection: Comparison of Breast Tomosynthesis and Conventional Mammography,"the purpose of this study is to determine if: 1 the detection of breast cancer will be increased with conventional (2d) imaging plus tomosynthesis (3d) imaging, or 2. if the the detection of breast cancer will be increased with tomosynthesis (3d) imaging alone."
14,"Palbociclib In Combination With Letrozole As Treatment Of Post-Menopausal Women With HR+, HER2- Advanced Breast Cancer","to provide access to palbociclib to post-menopausal patients with hormone receptor-positive [hr(+)], her2-negative [her2(-)] abc who are deemed appropriate for letrozole therapy."
15,Intrathecal Trastuzumab for Leptomeningeal Metastases in HER2+ Breast Cancer,"phase i: patients will be treated in cohorts of 3-6 based on standard phase i dose escalation parameters requiring 0/3 or 1/6 patients per cohort to have a dlt before dose escalation. dosing is as follows: cohort 1-10 mg it, cohort 2-20 mg it, cohort 3-30 mg it and cohort 4-40 mg it. patients will be treated twice a week for 4 weeks, then once a week for 4 weeks, and then every 2 weeks. toxicity for dlt will be assessed during first 4 weeks of treatment. phase ii: patients will be treated with the mtd or maximal defined dose. patients will be treated twice a week for 4 weeks, then once a week for 4 weeks, and then every 2 weeks."
16,European Celecoxib Trial in Primary Breast Cancer (REACT),"it has long been recognised that there is an association between chronic immune activation and cancer but the mechanisms behind this observation are not fully understood. the inflammatory process may provide an environment for development of malignant disease, with mediators of inflammatory response such as the cyclo-oxygenases playing an important role and providing a target for therapeutic intervention.
prostaglandins (pgs) are synthesised from phospholipids by the action of phospholipase a2 and cyclo-oxygenases. cyclo-oxygenase (cox) -1 differs from cox-2 in that the latter is inducible and its expression is induced by a large range of oncogenes and growth factors. celecoxib is a selective cox-2 inhibitor that does not cause the effects of cox-1 inhibition, namely gastrointestinal ulceration.
the key regulatory step in this process is the enzymatic conversion of fatty acids to pgg2 and pgh2 by cox. pgh2 is subsequently converted to one of several structurally related pgs including pge2, pgd2, pgf2, and thromboxane a2 (txa2), by the activity of specific pg synthases. pgs have important functions in every organ system and regulate a variety of physiological functions such as immunity, maintenance of vascular integrity and bone metabolism. cox-2 is not normally expressed in most tissues, but is induced by a wide spectrum of growth factors and pro-inflammatory cytokines in specific pathophysiological conditions. the expression of cox-2 is highly induced in cells transformed with the oncogene v-src or treated with phorbol esters.
several studies have suggested an association between non-steroidal anti-inflammatory drug (nsaid) consumption and decreased breast cancer risk.
elevated cox expression in breast cancer was suggested some time ago by the finding of elevated pg production in breast tumours.
there is pharmacological and genetic evidence to indicate that a significant component of the anticancer property of nsaids is due to their ability to inhibit the cox-2 enzyme.
this phase iii randomised study assesses the impact on disease free survival and overall survival of the cox-2 inhibitor celecoxib as maintenance therapy following surgery and chemotherapy in the treatment of primary breast cancer.
2590 women with primary breast cancer will be recruited in this study from several locations in the united kingdom and germany.
prior to randomization all patients should have completed at least 4 cycles of (neo) adjuvant chemotherapy. patients who satisfy all the eligibility criteria for the study will be informed and consented to join the study. the local investigator will then contact the iccg randomization centre to randomize the patient by fax or by telephone.
assessments required pre-randomisation
complete history and physical examination (within 4 weeks before randomisation)
haematology (hb, wbc or anc, platelets) & biochemistry [serum bilirubin, creatinine, alkaline phosphatase] (within 4 weeks before randomisation)
mammogram, chest x-ray, liver ultrasound, bone scan (at a maximum 00 months prior to diagnosis of breast cancer). in case of clinical symptoms metastatic disease has to be excluded before randomisation by the appropriate investigations
collection of tissue blocks for the central tumour banks at glasgow royal infirmary (for sites managed by iccg) land studienzentrale in frankfurt (for sites managed by gbg)
treatment
treatment must begin within 14 working days after randomisation and within 12 weeks of day 1 of the last cycle of adjuvant chemotherapy. radiotherapy should be given according to local policy (concomitant trial treatment and radiotherapy is permitted). patients will be randomised 2: 1 (in favour of celecoxib) to receive:
two placebo capsules twice daily with food or two celecoxib 200mg capsules twice daily (800mg per day) with food the duration of celecoxib/placebo treatment is 2 years. in addition all postmenopausal er + and/or pgr+ postmenopausal patients will receive exemestane (25mg daily) for 5 years. the start of the treatment will be at same time as starting celecoxib or placebo.
routine follow up visits during the course of the trial all patients will be followed up every 3 months in the first year, every 6 months in !years 2 and 3 and annually from year 4 onwards.
follow up assessments
clinical examination and history
haematology & biochemistry
metastatic screen -additional tests/investigations (eg. bone/liver scan etc) are at the investigators discretion if clinically indicated.
serious adverse events
follow up upon relapse any relapse requires treatment to be stopped and patients should have the minimum tests carried out as described in section (c) above.
relapse is categorized as ipsilateral breast or axillary nodal relapse [loco regional] distant relapse (including supraclavicular nodes) [distant] and contralateral breast disease (malignant) [2nd primary]. in the event of tumor recurrence the relevant recurrence form should be completed and the trials office notified within 4 weeks.
all patients will be followed up long term irrespective o whether they have been withdrawn from treatment prematurely."
17,SentiMag® Intraoperative Comparison in Breast Cancer (SentiMagIC),"this is a pivotal, prospective, open label, multicenter, paired comparison of the sentimag® and siennaxp® magnetic sentinel node localization system with the standard of care (radioisotope with blue dye) for lymph node localization in the detection of lymph nodes in patients with breast cancer undergoing a sentinel lymph node biopsy. the trial is designed to provide powered evidence that the lymph node detection rate of the sentimag® and siennaxp® system is non-inferior to the standard of care in patients with breast cancer."
18,A Study of Eribulin Mesylate With Trastuzumab for Advanced or Recurrent Human Epidermal Growth Factor Receptor 2-Positive (HER2+) Breast Cancer,"the purpose of the study is to evaluate dose limiting toxicity (dlt), investigate the tolerability and safety of eribulin mesylate with trastuzumab combination therapy, and estimate the recommended dose."
19,A Clinical Study to Determine the Pharmacokinetics of Oraxol in Breast Cancer Patients,"this is a multicenter, open-label, single-arm pk study in approximately 24 breast cancer patients for whom paclitaxel treatment is indicated. the study contains 3 periods: the screening / baseline period, the treatment period, and the follow-up period. a final visit will occur within 7 days of the last dose of study treatment. if subjects achieve stable disease (sd), partial response (pr), or complete response (cr) at the end of the treatment period, they may continue oraxol treatment in a separate extension study."
20,test trial,hello
21,test trial,hello
22,test trial,hello
